id,name,price,category
0,product-0,1.50,misc
1,product-1,3.00,misc
2,product-2,4.50,misc
3,product-3,6.00,misc
4,product-4,7.50,misc
5,product-5,9.00,misc
6,product-6,10.50,misc
7,product-7,12.00,misc
8,product-8,13.50,misc
9,product-9,15.00,misc
10,product-10,16.50,misc
11,product-11,18.00,misc
12,product-12,19.50,misc
13,product-13,21.00,misc
14,product-14,22.50,misc
15,product-15,24.00,misc
16,product-16,25.50,misc
17,product-17,27.00,misc
18,product-18,28.50,misc
19,product-19,30.00,misc
20,product-20,31.50,misc
21,product-21,33.00,misc
22,product-22,34.50,misc
23,product-23,36.00,misc
24,product-24,37.50,misc
25,product-25,39.00,misc
26,product-26,40.50,misc
27,product-27,42.00,misc
28,product-28,43.50,misc
29,product-29,45.00,misc
30,product-30,46.50,misc
31,product-31,48.00,misc
32,product-32,49.50,misc
33,product-33,51.00,misc
34,product-34,52.50,misc
35,product-35,54.00,misc
36,product-36,55.50,misc
37,product-37,57.00,misc
38,product-38,58.50,misc
39,product-39,60.00,misc
40,product-40,61.50,misc
41,product-41,63.00,misc
42,product-42,64.50,misc
43,product-43,66.00,misc
44,product-44,67.50,misc
45,product-45,69.00,misc
46,product-46,70.50,misc
47,product-47,72.00,misc
48,product-48,73.50,misc
49,product-49,75.00,misc
50,product-50,76.50,misc
51,product-51,78.00,misc
52,product-52,79.50,misc
53,product-53,81.00,misc
54,product-54,82.50,misc
55,product-55,84.00,misc
56,product-56,85.50,misc
57,product-57,87.00,misc
58,product-58,88.50,misc
59,product-59,90.00,misc
60,product-60,91.50,misc
61,product-61,93.00,misc
62,product-62,94.50,misc
63,product-63,96.00,misc
64,product-64,97.50,misc
65,product-65,99.00,misc
66,product-66,100.50,misc
67,product-67,102.00,misc
68,product-68,103.50,misc
69,product-69,105.00,misc
70,product-70,106.50,misc
71,product-71,108.00,misc
72,product-72,109.50,misc
73,product-73,111.00,misc
74,product-74,112.50,misc
75,product-75,114.00,misc
76,product-76,115.50,misc
77,product-77,117.00,misc
78,product-78,118.50,misc
79,product-79,120.00,misc
80,product-80,121.50,misc
81,product-81,123.00,misc
82,product-82,124.50,misc
83,product-83,126.00,misc
84,product-84,127.50,misc
85,product-85,129.00,misc
86,product-86,130.50,misc
87,product-87,132.00,misc
88,product-88,133.50,misc
89,product-89,135.00,misc
90,product-90,136.50,misc
91,product-91,138.00,misc
92,product-92,139.50,misc
93,product-93,141.00,misc
94,product-94,142.50,misc
95,product-95,144.00,misc
96,product-96,145.50,misc
97,product-97,147.00,misc
98,product-98,148.50,misc
99,product-99,150.00,misc
